City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Kudahuvadhoo,MV,2.6708,72.8944,82.06,73,6,6.93,clear sky
1,Bambous Virieux,MU,-20.3428,57.7575,82.99,83,40,17.27,light rain
2,Egvekinot,RU,66.3167,-179.1667,-15.81,99,65,3.91,broken clouds
3,Vaini,TO,-21.2,-175.2,75.2,78,75,9.22,broken clouds
4,Cidreira,BR,-30.1811,-50.2056,70.61,83,100,14.23,overcast clouds
5,Albany,US,42.6001,-73.9662,54.0,60,13,4.79,few clouds
6,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,40,3.44,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,39.2,65,0,8.05,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,75.99,99,80,2.55,light rain
9,Anadyr,RU,64.75,177.4833,-4.0,77,0,6.71,clear sky
10,Miri,MY,4.4148,114.0089,87.8,66,40,8.05,scattered clouds
11,Caravelas,BR,-17.7125,-39.2481,73.08,84,95,10.98,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,91.4,40,40,6.91,scattered clouds
13,Souillac,MU,-20.5167,57.5167,80.6,83,40,17.27,scattered clouds
14,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,94,75,6.13,broken clouds
15,Avarua,CK,-21.2078,-159.775,77.0,94,90,2.3,moderate rain
16,Carupano,VE,10.6678,-63.2585,75.51,91,100,8.86,overcast clouds
17,Thompson,CA,55.7435,-97.8558,35.6,64,20,4.61,few clouds
18,Mahibadhoo,MV,3.7833,72.9667,82.81,72,7,7.83,clear sky
19,Zhigansk,RU,66.7697,123.3711,12.09,80,100,18.43,overcast clouds
20,Ubaira,BR,-13.2681,-39.6628,68.38,96,100,6.22,overcast clouds
21,Constitucion,CL,-35.3333,-72.4167,53.35,90,8,6.44,clear sky
22,Sao Filipe,CV,14.8961,-24.4956,73.0,66,0,13.89,clear sky
23,Hobart,AU,-42.8794,147.3294,57.99,47,40,9.22,scattered clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,66.0,94,78,11.5,broken clouds
25,Saskylakh,RU,71.9167,114.0833,-1.1,94,82,11.77,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,68.41,79,45,8.59,scattered clouds
27,Victoria,HK,22.2855,114.1577,71.01,78,99,1.99,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,-2.2,84,1,2.3,clear sky
29,Alofi,NU,-19.0595,-169.9187,77.0,83,11,3.44,few clouds
30,Arraial Do Cabo,BR,-22.9661,-42.0278,74.77,73,1,12.8,clear sky
31,Kruisfontein,ZA,-34.0033,24.7314,67.03,60,18,4.36,few clouds
32,Beloha,MG,-25.1667,45.05,81.79,54,78,5.37,broken clouds
33,Tura,IN,25.5198,90.2201,93.43,34,29,6.93,scattered clouds
34,Bilibino,RU,68.0546,166.4372,-0.31,85,8,4.54,clear sky
35,Busselton,AU,-33.65,115.3333,72.0,54,0,3.0,clear sky
36,Henties Bay,NA,-22.116,14.2845,79.57,44,0,9.64,clear sky
37,New Norfolk,AU,-42.7826,147.0587,57.99,50,48,1.99,scattered clouds
38,Green River,US,41.5286,-109.4662,32.0,34,1,24.16,clear sky
39,Cape Town,ZA,-33.9258,18.4232,64.99,77,0,11.5,clear sky
40,Lata,PT,40.1629,-8.3327,57.99,94,100,2.35,overcast clouds
41,Bluff,NZ,-46.6,168.3333,54.73,78,0,9.78,clear sky
42,Birjand,IR,32.8663,59.2211,73.4,10,0,7.56,clear sky
43,Jamestown,US,42.097,-79.2353,60.8,55,90,8.05,overcast clouds
