City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Caravelas,-17.7125,-39.2481,83.05,61,0,11.61,BR,2021-03-30 19:06:03
1,Bengkulu,-3.8004,102.2655,75.0,88,100,3.96,ID,2021-03-30 19:06:03
2,Busselton,-33.65,115.3333,60.01,94,23,4.47,AU,2021-03-30 19:06:04
3,Bluff,-46.6,168.3333,55.0,97,74,5.95,NZ,2021-03-30 19:06:04
4,Naples,40.8333,14.25,64.4,34,0,4.61,IT,2021-03-30 19:05:56
5,Hermanus,-34.4187,19.2345,61.0,87,5,1.01,ZA,2021-03-30 19:06:04
6,Shu,43.5983,73.7614,36.88,90,91,5.53,KZ,2021-03-30 19:06:04
7,Boa Vista,2.8197,-60.6733,78.8,83,90,9.22,BR,2021-03-30 19:06:04
8,Puerto Ayora,-0.7393,-90.3518,82.4,74,20,8.05,EC,2021-03-30 19:06:04
9,Pulandian,39.3953,121.9669,44.6,57,0,2.24,CN,2021-03-30 19:02:58
10,Kapaa,22.0752,-159.319,75.2,83,40,12.66,US,2021-03-30 19:06:05
11,Atuona,-9.8,-139.0333,81.36,69,90,18.57,PF,2021-03-30 19:06:05
12,Alofi,-19.0595,-169.9187,80.6,89,40,8.05,NU,2021-03-30 19:06:05
13,Vaini,-21.2,-175.2,80.6,89,20,5.75,TO,2021-03-30 19:06:05
14,Barguzin,53.6167,109.6167,29.95,90,100,9.24,RU,2021-03-30 19:06:05
15,Comodoro Rivadavia,-45.8667,-67.5,71.6,56,0,4.61,AR,2021-03-30 19:06:05
16,Parfenyevo,58.484,43.4088,32.5,97,100,14.99,RU,2021-03-30 19:06:06
17,La Union,-5.4,-80.75,89.35,40,16,13.31,PE,2021-03-30 19:06:06
18,Aklavik,68.2191,-135.0107,-2.2,78,90,5.75,CA,2021-03-30 19:06:06
19,Sorong,-0.8833,131.25,80.37,80,95,6.71,ID,2021-03-30 19:06:06
20,Yantal,56.8471,105.2542,22.89,90,93,11.52,RU,2021-03-30 19:06:06
21,Sept-Iles,50.2001,-66.3821,25.0,63,90,10.36,CA,2021-03-30 19:06:06
22,Rikitea,-23.1203,-134.9692,78.67,70,14,16.73,PF,2021-03-30 19:06:06
23,Jamestown,42.097,-79.2353,68.0,24,1,23.02,US,2021-03-30 19:06:07
24,Pevek,69.7008,170.3133,-16.26,99,93,8.08,RU,2021-03-30 19:06:07
25,Yellowknife,62.456,-114.3525,7.0,65,75,13.8,CA,2021-03-30 19:06:07
26,Ushuaia,-54.8,-68.3,48.2,61,20,23.02,AR,2021-03-30 19:06:07
27,Port Alfred,-33.5906,26.891,68.2,88,11,10.87,ZA,2021-03-30 19:06:07
28,Hilo,19.7297,-155.09,75.2,73,40,5.75,US,2021-03-30 19:06:07
29,Kodiak,57.79,-152.4072,39.2,87,90,2.08,US,2021-03-30 19:06:07
30,Khatanga,71.9667,102.5,-31.29,99,70,8.23,RU,2021-03-30 19:06:07
31,Klaksvik,62.2266,-6.589,37.4,81,75,13.8,FO,2021-03-30 19:06:08
32,Manzanillo,20.3433,-77.1167,93.69,37,23,6.53,CU,2021-03-30 19:06:08
33,Zhigansk,66.7697,123.3711,22.06,95,100,13.33,RU,2021-03-30 19:06:09
34,Geraldton,-28.7667,114.6,71.6,88,40,6.91,AU,2021-03-30 19:06:09
35,Sahiwal,30.6667,73.1,69.84,20,0,6.64,PK,2021-03-30 19:06:09
36,Kidal,18.4411,1.4078,82.69,7,0,8.41,ML,2021-03-30 19:06:09
37,Port Moresby,-9.4431,147.1797,77.0,94,90,1.32,PG,2021-03-30 19:06:09
38,Copacabana,6.3463,-75.5089,73.4,53,40,8.05,CO,2021-03-30 19:06:09
39,Tigil,57.8,158.6667,22.91,85,100,6.4,RU,2021-03-30 19:06:10
40,Maceio,-9.6658,-35.7353,84.2,79,75,12.66,BR,2021-03-30 19:06:10
41,Camacha,33.0833,-16.3333,64.4,77,20,6.91,PT,2021-03-30 19:06:11
42,Kiruna,67.8557,20.2251,30.2,86,20,3.44,SE,2021-03-30 19:06:11
43,Bambous Virieux,-20.3428,57.7575,78.01,94,40,8.05,MU,2021-03-30 19:06:11
44,Hobart,-42.8794,147.3294,55.0,87,40,6.91,AU,2021-03-30 19:05:52
45,San Patricio,28.017,-97.5169,86.0,58,75,16.11,US,2021-03-30 19:06:11
46,Nikolskoye,59.7035,30.7861,44.6,93,90,11.18,RU,2021-03-30 19:06:11
47,Bethel,41.3712,-73.414,59.0,33,1,10.36,US,2021-03-30 19:06:11
48,Butaritari,3.0707,172.7902,82.29,76,100,18.45,KI,2021-03-30 19:06:11
49,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,17.27,CA,2021-03-30 19:06:12
50,Tsabong,-26.0217,22.401,74.73,51,99,5.23,BW,2021-03-30 19:06:12
51,Beatrice,40.2681,-96.747,51.8,24,1,24.16,US,2021-03-30 19:06:12
52,Punta Arenas,-53.15,-70.9167,53.6,50,0,18.41,CL,2021-03-30 19:06:12
53,Mataura,-46.1927,168.8643,55.0,97,100,1.45,NZ,2021-03-30 19:06:12
54,Los Llanos De Aridane,28.6585,-17.9182,68.0,73,20,8.05,ES,2021-03-30 19:06:12
55,Kaniama,-7.5667,24.1833,65.55,96,97,1.45,CD,2021-03-30 19:06:13
56,Bontang,0.1333,117.5,76.06,90,100,5.97,ID,2021-03-30 19:06:13
57,Simpang,-1.2667,104.0833,75.63,96,63,0.98,ID,2021-03-30 19:06:13
58,Hobyo,5.3505,48.5268,80.01,71,12,10.87,SO,2021-03-30 19:06:13
59,Georgetown,5.4112,100.3354,82.4,89,20,2.3,MY,2021-03-30 19:04:50
60,Morros,-9.4467,-46.3003,83.01,64,100,4.05,BR,2021-03-30 19:06:13
61,Karratha,-20.7377,116.8463,85.42,55,48,2.91,AU,2021-03-30 19:06:14
62,Mar Del Plata,-38.0023,-57.5575,64.4,72,20,9.22,AR,2021-03-30 19:05:17
63,Chokurdakh,70.6333,147.9167,-15.66,100,82,2.75,RU,2021-03-30 19:06:14
64,Lebu,-37.6167,-73.65,61.18,79,14,13.15,CL,2021-03-30 19:06:14
65,Chalchihuites,23.4833,-103.8833,78.33,11,48,10.85,MX,2021-03-30 19:06:14
66,Badiraguato,25.3667,-107.5167,90.0,25,75,4.61,MX,2021-03-30 19:06:14
67,Leningradskiy,69.3833,178.4167,-4.22,89,100,11.7,RU,2021-03-30 19:06:14
68,Nsanje,-16.92,35.262,74.08,74,99,6.49,MW,2021-03-30 19:06:15
69,Kavieng,-2.5744,150.7967,81.46,76,100,4.21,PG,2021-03-30 19:06:15
70,Liwale,-9.7667,37.9333,67.53,91,100,4.61,TZ,2021-03-30 19:06:15
71,Gerash,27.6652,54.1371,75.2,23,0,6.53,IR,2021-03-30 19:06:15
72,Dikson,73.5069,80.5464,-27.11,96,5,4.16,RU,2021-03-30 19:06:15
73,Deniliquin,-35.5333,144.9667,54.0,83,21,5.64,AU,2021-03-30 19:06:15
74,Upernavik,72.7868,-56.1549,19.58,69,100,7.36,GL,2021-03-30 19:06:15
75,Peoria,40.7667,-89.7668,64.99,42,1,16.11,US,2021-03-30 19:06:15
76,Maneadero,31.7167,-116.5667,64.0,75,1,4.0,MX,2021-03-30 19:06:16
77,Cayenne,4.9333,-52.3333,86.0,66,20,16.11,GF,2021-03-30 19:06:16
78,Albany,42.6001,-73.9662,63.0,25,7,5.99,US,2021-03-30 19:06:16
79,Sibolga,1.7427,98.7792,76.53,82,90,2.66,ID,2021-03-30 19:06:16
80,Otjimbingwe,-22.35,16.1333,73.0,51,100,6.33,NA,2021-03-30 19:06:16
81,Strezhevoy,60.7333,77.5889,6.8,85,0,4.47,RU,2021-03-30 19:06:16
82,Bredasdorp,-34.5322,20.0403,60.8,82,0,2.3,ZA,2021-03-30 19:06:16
83,Koygorodok,60.445,50.9968,32.29,89,100,14.36,RU,2021-03-30 19:06:17
84,Kudahuvadhoo,2.6708,72.8944,83.41,76,100,18.9,MV,2021-03-30 19:06:17
85,Hasaki,35.7333,140.8333,59.0,77,75,9.22,JP,2021-03-30 19:06:17
86,Tavira,37.1273,-7.6486,68.0,68,0,16.11,PT,2021-03-30 19:06:17
87,Bida,9.0833,6.0167,91.6,17,12,2.13,NG,2021-03-30 19:06:17
88,Fairbanks,64.8378,-147.7164,32.0,80,40,2.71,US,2021-03-30 19:06:17
89,Torit,4.4133,32.5678,78.48,60,89,3.69,SS,2021-03-30 19:06:18
90,New Norfolk,-42.7826,147.0587,55.0,72,99,2.91,AU,2021-03-30 19:06:18
91,Pangody,65.85,74.4859,-26.95,100,24,4.83,RU,2021-03-30 19:06:18
92,Ouadda,8.0777,22.4007,77.9,24,55,2.06,CF,2021-03-30 19:06:18
93,Vanimo,-2.6741,141.3028,77.32,88,100,0.89,PG,2021-03-30 19:06:18
94,Hami,42.8,93.45,46.6,48,100,10.09,CN,2021-03-30 19:06:18
95,Cabudare,10.0289,-69.0894,84.2,51,40,5.75,VE,2021-03-30 19:06:18
96,Dandong,40.1292,124.3947,44.13,44,88,2.04,CN,2021-03-30 19:06:19
97,Cherskiy,68.75,161.3,-15.9,100,53,4.34,RU,2021-03-30 19:06:19
98,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.59,98,100,1.74,BR,2021-03-30 19:06:19
99,Plastun,44.7561,136.2939,36.61,85,37,4.83,RU,2021-03-30 19:06:19
100,Kachug,53.9606,105.8817,14.31,95,69,3.04,RU,2021-03-30 19:06:19
101,Cockburn Town,21.4612,-71.1419,80.6,65,40,17.27,TC,2021-03-30 19:06:19
102,Half Moon Bay,37.4636,-122.4286,69.8,18,1,13.8,US,2021-03-30 19:06:19
103,Cape Town,-33.9258,18.4232,66.99,77,0,9.22,ZA,2021-03-30 19:04:32
104,Naranjal,-2.6667,-79.6167,86.0,62,81,5.75,EC,2021-03-30 19:06:20
105,Bereda,43.2686,-7.5406,64.4,68,0,1.14,ES,2021-03-30 19:06:20
106,Norman Wells,65.282,-126.8329,6.8,78,90,5.75,CA,2021-03-30 19:06:20
